"The umbrella theory explaining the Earth's movement, contact, and flattening of large land plates is known as",the Coriolis effect,plate tectonics,hotspots,the Richter Magnitude Scale,the subduction zone,B
"A long, narrow, upper atmosphere current of fast moving air is known as a",jet stream,thermophile,contrail,gust of wind,typhoon,A
"Archaeologists record the top layers first, followed by older, deeper layers to study ancient settlements and cities following the",principle of original horizontality,principle of uniformitarianism,principle of superposition,principle of uniformity,principle of lateral continuity,C
"Gravitational forces within the Earth, as well as heat and radioactive element recycling in the molten core, take place through",subduction,deflection,transformation,convection,divergent boundaries,D
Which two gases make up the majority of the Earth's gases?,Oxygen and methane,Oxygen and propane,Nitrogen and carbon dioxide,Benzene and nitrogen,Nitrogen and oxygen,E
"Because he figured out that sedimentary rock must have been compacted and compressed, over many ages, _______ is known as the father of modern geology.",Richard Palmer,James Hutton,W,Nicholas Steno,Aubrey Hough,B
An ocean trench is formed along the,transform fault boundary of two colliding plates,Mid-Atlantic Ridge,distant edge boundary of two colliding plates,divergent boundary of two colliding plates,convergent boundary of two colliding plates,E
Which of the following is the highest layer of the atmosphere?,Stratosphere,Thermosphere,Ozone,Troposphere,Mesosphere,B
Water-layered sediments that thin to nothing at a shore or the area where first deposited are the subject of the,principle of uniformity,principle of original horizontality,second law of thermodynamics,principle of superposition,principle of lateral continuity,E
Any solid material (rock or organic) that settles out from a liquid is known as,sediment,ash,a biofuel,granite,cinders,A
The principle of uniformitarianism includes the idea that,continental shifting and compression are possible across different regions,energy can neither be created nor destroyed,volcanoes can erupt even when quiet for 200 years,population growth is slow and the birth rate drops to around the death rate,"primary consumers (i.e., herbivores) consume plants and algae",A
A volcano with little erosion and that may erupt at any time is classified as,active,dormant,high risk,sedimentary,extinct,B
"Primary waves, which bunch together and then move apart like an inchworm, are",the slowest seismic waves,the fastest seismic waves,known as Rayleigh waves,a type of surface wave,the only wave to move through air,B
Large temperature differences and strong pressure differences between warm and cold air cause the formation of the,precipitation,auroras,jet stream,clouds,fossilization,C
A huge layer of rock that drifts slowly over the supporting upper mantle layer is a,caldera,hotspot,geological plate,tropical oasis,transform fault,C
"When Mount Vesuvius erupted in 79 A.D., most people were killed by",lava,pyroclastic flow,volcanic rock,poisonous volcanic gases,the hysterical crowd running toward the sea,D
"A large earthquake occurs, on average, somewhere in the world each year of greater than",1.5 magnitude,2.0 magnitude,4.0 magnitude,5.2 magnitude,8.0 magnitude,E
A sudden change in the wind's direction or speed with increasing altitude is called,wind stop,wind chill,troposphere,wind shear,ionosphere,D
The northern and southern lights are found in the,mesosphere,tropopause,stratosphere,troposphere,thermosphere,E
"Where two crustal plates collide and one plate is forced under the other into the mantle, it is called a",hotspot,pressure zone,surface trace,subduction zone,sedimentary layer,D
Relationships between earth layers and soil samples are described by,tectonic time measurements,Jurassic time measurements,chronostatic time measurements,continental drift,subjective time measurements,C
The relationship between air temperature and the amount of water vapor it contains is known as,relative humidity,indistinct humidity,point source humidity,aridity,wind shear,A
The location directly above an earthquake's hypocenter on the earth's surface is the,epicenter,trench,hypercenter,surface trace,ridge,A
Love waves are a type of,primary seismic wave,surface wave,pyroclastic flow,folded rock,lapilli,B
Vibrations in the Earth caused by cracks or shifts in the underlying rock are called,caldera,sedimentation,igneous activity,faults,seismic waves,E
The following are all time units of the geological time scale except,eons,eras,ages,periods,epochs,C
The thermosphere is also called the,mesosphere,troposphere,ionosphere,lower latitude layer,El Niño effect,C
The Coriolis effect is a result of the Earth's,gravitation,temperature,rotation,plant life,curvature,C
An isobar is a,measure of temperature,line connecting areas of increasing atmospheric pressure,measure of depth,line connecting areas of the same atmospheric pressure,topographical symbol,D
"Using the table below asdf, if the wind is blowing 30 km/h and the outside temperature is 15°C, what is the wind chill factor in degrees Celsius?",8°C,10°C,12°C,14°C,15°C,C
Groundwater is stored in,porous rocks,snow,glaciers,aquifers,all of the above,E
"The layer closest to the surface, where spaces between soil particles are filled with both air and water, is called the zone of",aeration,hydration,precipitation,consolidation,acclimation,A
Infiltration takes place when,streams overflow their banks,plants use water during photosynthesis,deserts get drier and drier,rainfall soaks into the ground,snow melts,D
"When water changes from a liquid to a gas or vapor, the process is called",aeration,conservation,precipitation,withdrawal,evaporation,E
A tropical depression is the first phase in the formation of a,tornado,cloud,hurricane,jet stream,temperature inversion,C
"The study of the occurrence, distribution, and movement of water on, in, and above the surface of the Earth is called",microbiology,ecology,hydrology,botany,aquaculture,C
The oceans hold approximately what percent of the Earth's water?,45%,62%,75%,80%,97%,E
Aquifers that form a water table separating unsaturated and saturated zones are called,unconfined aquifers,confined aquifers,lakes,closed aquifers,saturated aquifers,A
"The water found in subterranean spaces, cracks, and open pore spaces of minerals is called",watershed,groundwater,snow melt,runoff,evapotranspiration,B
"Rainfall or snow melt that has not had time to evaporate, transpire, or move into groundwater is known as",transpiration,an aquifer,consumption,runoff,conservation,D
"When moving through the eye wall of a hurricane and into the eye, surface pressure",increases,decreases,stays the same,is at its highest,is only rarely low,B
The area at the surface or below ground that supplies water to an aquifer and/or most of the watershed or drainage basin is called,an aquifer,an unconsolidated aquifer,a drainage zone,an aquifer recharge zone,a surface discharge,D
The amount of open space in the soil is called,crystal structure,sedimentation,soil porosity,granite,soil salinity,C
