The following structures that can coexist in the same type of rocks are:,"Stomatal, almond-shaped, thousand-piece","Plate-shaped, gneiss-shaped, pillow-shaped","Wave marks, mud cracks, parallel bedding",Null,C
The most soluble of the following rocks are:,Limestone,Dolomite,Mudstone,Null,C
The following materials are mainly formed by groundwater metasomatism:,Nodule,Sinter,Silicified Wood,Stone Salt Pseudocrystal,B
"Among the following structures, the smallest displacement of geological body is:",Normal Fault,Reverse Fault,Translation Fault,Joint,D
The following geological ages are arranged from old to new as:,S-O-Z-T-P,Z-O-S-P-T,Z-S-O-T-P,S-Z-O-P-T,B
The following fully cleaved minerals are:,Quartz,Muscovite,Pyroxene,Null,C
The sequence of various leases in the formation of sedimentary rocks is:,Weathering-transporting-denudation-sedimentary-diagenesis,Weathering-denudation-transporting-sedimentary-diagenesis,Denudation-weathering-transporting-sedimentary-diagenesis,Null,B
Chemical weathering is most easily carried out at:,Cold and dry areas,Warm and humid areas,Arid areas,Null,B
The plate-like intrusive rock mass formed by magma intrusion along the fault plane (zone) of surrounding rock is called:,Rock Plant,Rock Bed,Rock Wall,Null,C
Most volcanoes on the Earth are located in:,Continental Rift Zone,Pacific Rim Zone,Alpine-Mediterranean-Himalayan Zone,Null,B
The process in which the original rock is basically in solid state and is changed into another new rock mainly by internal dynamic geological process is called:,Magmatism,Weathering,Metamorphism,Null,C
The main changes of limestone metamorphism into marble are:,Mineral composition,Rock color,Rock structure,Null,C
River erosion mainly occurs in:,Downstream,Midstream,Upstream,Null,C
The bedrock is formed by magma:,Ejection,Intrusion,Metasomatism,Null,B
Root cleavage of plants belongs to:,Chemical weathering,Physical weathering,Biological weathering,Null,C
The interface between crust and mantle is called:,Gutenberg,Conrad,Moho,Null,C
Gabbro is:,Extrusive Rock,Intrusive Rock,Metamorphic Rock,Null,B
"Among the following rocks, the weakest resistance to chemical weathering is:",Granite,Limestone,Quartz Sandstone,Null,B
Gymnosperms flourished in:,Paleozoic,Cenozoic,Cenozoic 29. Streaks were (color mineral powder,mineral surface,C
The morphology of amphibole is:,Flaky,Granular,Long columnar,Null,C
Reptiles flourished in:,Paleozoic,Cenozoic,Mesozoic,Null,C
"In the Mohs hardness tester, the minerals with hardness grade 7 are:",Gypsum,Quartz,Topaz,Null,B
Quiet volcanoes emit mainly:,Acid lava,Basic lava,Neutral lava,Null,B
The main mineral compositions of gabbro are:,Hornblende and plagioclase,Pyroxene and plagioclase,Plagioclase and quartz,Null,B
Glaciers:,Have sorting function,Have rounding function,Have no sorting function' in the process of detritus transportation,Null,C
The half order of lake chemical deposition in arid climate region is:,Sulfate-chloride-carbonate,Chloride-sulfate-carbonate,Carbonate-sulfate-chloride,Null,C
"In which period did human, true images and real horses appear:",J,K,T,Q,D
Indosinian movement occurred in the period of:,Carboniferous,Permian,Triassic,Cretaceous,C
The skarn type deposit was formed by which of the following metamorphism:,Contact metasomatic metamorphism,Regional metamorphism,Burial metamorphism,Dynamic metamorphism,A
Caledonian movement occurs in:,Mesozoic,Late Paleozoic,Early Paleozoic,Cenozoic,C
Which of the following fold structures must have undergone stratigraphic inversion:,Tilting fold,Vertical fold,Inclined fold,Rolling fold,D
"In a nappe structure, if the younger rock block is exposed in the older rock block due to strong erosion, the structure is called:",Klippe,Structural window,Overthrust fault,Thrust fault,B
Sheet structure is a common structure in regional metamorphic rocks. Which of the following is the most metamorphic structure:,Plate structure,Thousand-piece structure,Sheet structure,Strong gneiss,D
"According to isotopic dating, the longest geological period is:",Proterozoic,Paleozoic,Mesozoic,Cenozoic,A
"If trilobites are found in the strata, then the stratigraphic age is:",Early Ordovician,Tertiary,Cretaceous,Early Cambrian,D
Which sedimentary formation reflects the transformation from marine facies to continental facies:,flysch deposition,turbidity current deposition,molasite deposition,pyroclastic deposition,C
Which part of the earth belongs between Gutenberg surface and Moho surface:,Upper crust,Lower crust,Mantle,Core,C
"Mesozoic gymnosperms have been unprecedented development, which of the following plant fossils do not belong to gymnosperms:",Big feather fern,Cycad,Pine and cypress,Ginkgo biloba,A
